EU,Date,RiquezaFuncional,RiquezaTaxonomica,ShannonTaxonomica,ShannonFuncional
0,0,7,15,"1,17607744814143","0,744080273018394"
1,7,8,15,"1,97790340147189","1,03766705038689"
1,37,3,12,"1,59610480684318","0,472498314159831"
1,74,5,11,"1,49623583315668","0,846982765342116"
2,7,4,10,"0,662474989869562","0,388043267676589"
2,37,4,10,"1,17681462288353","0,344209045181286"
2,74,4,5,"0,729682525028845","0,491633281691151"
3,7,4,10,"0,676162051945515","0,351600838389805"
3,37,3,7,"1,42832948017398","0,418579618887893"
3,74,4,7,"0,670988948356719","0,428472234898093"
4,7,7,10,"0,815908123649823","0,660417385135416"
4,37,4,7,"1,36839764200929","0,462765413681775"
4,74,3,11,"0,843990108269581","0,61680883983203"
5,7,4,5,"0,221595821660813","0,139997848927616"
5,37,4,8,"1,52412775546805","0,656497333722175"
5,74,3,9,"0,268086506127906","0,551553403182751"
6,7,0,3,"0,0228827578759112","0,00000000000"
6,37,3,3,"0,344957058484505","0,344957058484505"
6,74,4,9,"0,176891398276702","0,974329809929909"
