Day,EU,W2,W1,P,J,N,X1,X2,S1,K,H,C,B,MP,D
0,0,"0,00","0,00","2,67","117,33","4,67","360,67","0,00","0,00","0,00","0,00","2,67","7,33","0,00","0,67"
7,1,"0,00","0,00","3,00","93,33","5,67","100,33","0,00","0,00","5,67","0,00","1,33","0,67","0,67","0,00"
37,1,"0,00","0,00","0,00","29,00","0,00","263,00","0,00","0,00","0,00","0,00","0,00","11,50","0,00","0,00"
74,1,"0,00","0,00","0,00","4,00","0,00","251,50","0,00","0,00","0,00","121,50","3,50","12,50","0,00","0,00"
7,2,"0,00","0,00","0,00","12,00","0,00","135,50","0,00","0,00","0,00","0,00","1,50","1,50","0,00","0,00"
37,2,"0,50","0,00","0,00","25,50","0,00","296,50","0,00","0,00","0,00","0,00","0,00","3,50","0,00","0,00"
74,2,"0,00","0,00","0,00","4,00","0,00","181,00","0,00","0,00","0,00","16,50","0,00","5,50","0,00","0,00"
7,3,"0,00","0,00","0,00","16,00","0,00","186,00","1,33","0,00","0,00","0,00","0,00","1,33","0,00","0,00"
37,3,"0,00","0,00","0,00","18,00","0,00","115,50","0,00","0,00","0,00","0,00","0,00","0,50","0,00","0,00"
74,3,"0,00","0,00","0,00","6,00","0,00","163,50","0,00","0,00","0,00","0,00","4,00","8,00","0,00","0,00"
7,4,"0,50","0,00","0,00","12,00","0,00","284,00","0,50","0,00","0,00","69,00","0,00","0,50","0,00","0,50"
37,4,"0,50","1,00","0,00","24,00","0,00","144,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
74,4,"0,00","0,00","0,00","163,00","0,00","1.324,00","0,00","0,00","0,00","5,00","0,00","44,00","0,00","0,00"
7,5,"0,50","0,00","0,00","4,00","0,00","182,50","0,00","0,00","0,00","0,00","0,00","0,50","0,00","0,00"
37,5,"0,00","0,00","0,00","22,00","0,00","64,00","0,00","0,00","0,00","0,00","0,00","1,00","0,50","0,00"
74,5,"0,00","0,00","0,00","8,00","0,00","1.452,50","0,00","0,00","0,00","0,00","1,00","38,50","0,00","0,00"
7,6,"0,00","0,00","0,00","0,00","0,00","1.142,50","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00"
37,6,"0,00","0,00","0,00","8,00","0,00","97,50","0,00","980,00","0,00","0,00","0,00","0,00","0,00","0,00"
74,6,"0,00","0,00","0,00","6,00","0,00","1.253,00","0,00","0,00","0,00","0,00","0,50","9,00","1,00","0,00"
