Date,EU,Trachelomonas,Euglena,Closterium,Scenedesmus quadricauda,Scenedesmus dispar,Scenedesmus,Scenedesmus acuminatus,Pediastrum duplex,Staurodesmus,Monoraphidium,Staurastrum,Euastrum,Cosmarium,Crucigenia 1,Crucigenia 2,Elakatothrix,Kirchneriella,Ankistrodesmus falcatus,Cyanobacteria w.i.,Chroococcus,Aphanocapsa,Anabaena 1,Anabaena 2,Aulacoserira,Gomphonema,Pinnularia,Cyclotella,Cymbella,Fragilaria,Navicula,Cocconeis,Nitzschia,Achnanthidium,Amphora,Surirella,Sellaphora
0,0,"0,0","0,0","1,3","45,3","42,7","29,3","0,0","0,0","2,7","12,7","1,3","0,0","2,0","0,0","0,0","0,0","0,0","4,0","0,0","0,0","344,0","0,0","0,0","0,0","0,7","1,3","2,7","0,0","0,0","0,0","0,0","0,7","0,0","5,3","0,0","0,0"
7,1,0,0,2,13,47,33,0,0,4,17,0,1,2,8,0,0,1,8,0,6,67,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
37,1,0,0,0,16,0,0,13,0,0,112,0,0,0,2,81,0,0,2,0,0,67,0,0,0,2,1,0,0,0,2,7,0,0,0,1,0
74,1,0,0,0,4,0,0,0,0,0,74,0,0,0,4,0,0,0,0,0,0,174,31,91,4,1,0,0,0,0,1,11,0,0,0,0,1
7,2,"0,0","0,0","0,0","2,0","0,0","10,0","0,0","0,0","0,0","1,0","0,0","0,0","0,0","2,0","0,0","0,0","0,0","4,0","0,0","0,0","128,5","0,0","0,0","0,0","0,5","0,5","1,5","0,0","0,0","0,5","0,0","0,0","0,0","0,0","0,0","0,0"
37,2,"0,5","0,0","0,0","22,0","0,0","0,0","3,5","0,0","0,0","192,0","0,0","0,0","0,0","0,0","32,5","0,0","0,0","0,0","0,0","0,0","72,0","0,0","0,0","0,0","0,5","0,5","0,0","0,0","0,0","0,5","2,0","0,0","0,0","0,0","0,0","0,0"
74,2,"0,0","0,0","0,0","4,0","0,0","0,0","0,0","0,0","0,0","14,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","167,0","0,0","16,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","5,5","0,0","0,0","0,0","0,0","0,0"
7,3,"0,0","0,0","0,0","8,0","2,7","5,3","0,0","0,0","0,0","5,3","0,0","0,0","0,0","0,0","0,0","1,3","2,7","2,0","0,0","0,0","176,0","0,0","0,0","0,0","0,0","0,7","0,0","0,7","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
37,3,"0,0","0,0","0,0","14,0","0,0","0,0","0,0","4,0","0,0","38,5","0,0","0,0","0,0","0,0","19,5","0,0","0,0","2,0","0,0","0,0","55,5","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,5","0,0","0,0","0,0","0,0","0,0","0,0"
74,3,"0,0","0,0","0,0","6,0","0,0","0,0","0,0","0,0","0,0","11,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","152,5","0,0","0,0","0,0","0,0","0,0","4,0","0,0","0,0","0,5","7,0","0,0","0,0","0,0","0,0","0,5"
